feature,importance
disease_duration_years,1.7075113526141192
updrs_part_iii,1.053252465356211
updrs_part_iv,0.5775938609633836
updrs_part_ii,0.5683467473760371
updrs_part_i,0.49452694350416637
moca_total_score,0.2904535799752319
levodopa_use,0.2683481816585179
rem_sleep_score,0.22816512821958967
alpha_synuclein_t50_hours,0.13077415123150196
schwab_england_adl,0.10882133488640403
amyloid_beta_42_40_ratio,0.10426617563076297
quinolinic_acid_nm,0.10231901470958195
beta_hexosaminidase_activity,0.09709948844510183
alpha_synuclein_pg_ml,0.08203467910584858
t_tau_pg_ml,0.08159010702940464
gfap_pg_ml,0.07774843005028216
amyloid_beta_42_pg_ml,0.0732928597644737
p_tau181_pg_ml,0.06789944170727813
nfl_pg_ml,0.06594261063603514
kynurenine_nm,0.06410044136807261
alpha_synuclein_seed_auc,0.059823933277780024
kynurenic_acid_nm,0.047869517991367024
olink_ddc_npx,0.04666768070694493
systolic_bp,0.04072103584459828
gdf15_pg_ml,0.03970657936796774
serotonin_nm,0.03800184508334975
olink_mdk_npx,0.03726407675048327
mir_let7e_ct,0.03276763013251797
amyloid_beta_42_pg_ml_missing,0.02913817902622942
cathepsin_d_activity,0.027578529822414856
klotho_pg_ml,0.02670190897847253
olink_il17d_npx,0.02642296525983979
gcase_activity,0.020418705506510974
bmi,0.0199043917149283
glucosylceramide_total_nmol_ml,0.01657893904116361
alpha_synuclein_rt_quic_result,0.015076642966405913
mir_let7e_relative_expression,0.014715898296481011
sample_type,0.01413662142043848
diastolic_bp,0.01399919135097299
education_years,0.012702253862895611
tryptophan_nm,0.011899606132293124
mir_107_ct,0.011055596613766313
dopamine_mrm_intensity,0.01064721471540966
family_history_pd,0.009792752511214758
crp40_copy_number,0.009710365892440285
mir_155_ct,0.00891137708313189
mir_146a_ct,0.008868721744062173
age,0.008797523946884243
ceramide_total_nmol_ml,0.008018843961003096
mir_132_ct,0.007860425319418031
mir_107_relative_expression,0.007269820298332726
lactosylceramide_total_nmol_ml,0.0071094828763854125
mir_9_ct,0.006595605597849507
sphingomyelin_total_nmol_ml,0.006351930423898801
mir_9_relative_expression,0.005879607648526064
mir_155_relative_expression,0.005861303840014119
olink_mad5_npx,0.005785974794663844
amyloid_beta_42_40_ratio_missing,0.004950789501177048
serum_available,0.004692197682227323
mir_146a_relative_expression,0.004000906931806952
mir_132_relative_expression,0.0036718901767858916
creatine_mrm_intensity,0.0025535871127646236
alpha_synuclein_pg_ml_missing,0.0017340231197215245
hemoglobin_ng_ml,0.0016105005972336297
p_tau181_pg_ml_missing,0.0014866162255368902
t_tau_pg_ml_missing,0.0013122224720351267
apoe_genotype,0.001010941746954075
lipidomics_available,0.0008997123424678143
mirna_available,0.000570977840065951
gdf15_pg_ml_missing,0.0003111411799302831
alpha_synuclein_t50_hours_missing,0.0002889528746589992
alpha_synuclein_seed_auc_missing,0.0002357459953741524
saliva_available,0.00016554699193188768
mir_107_ct_missing,0.0001491684277854765
ceramide_total_nmol_ml_missing,8.127022865393276e-05
sex,7.130994661227723e-05
proteomics_available,4.8468015636824034e-05
glucosylceramide_total_nmol_ml_missing,3.5605560783619345e-05
gba_mutation_carrier,0.0
plasma_available,0.0
rt_quic_available,0.0
genetics_available,0.0
csf_available,0.0
nfl_pg_ml_missing,0.0
tryptophan_nm_missing,0.0
sphingomyelin_total_nmol_ml_missing,0.0
lactosylceramide_total_nmol_ml_missing,0.0
alpha_synuclein_rt_quic_result_missing,0.0
gfap_pg_ml_missing,0.0
hemoglobin_ng_ml_missing,0.0
klotho_pg_ml_missing,0.0
crp40_copy_number_missing,0.0
olink_il17d_npx_missing,0.0
kynurenine_nm_missing,0.0
quinolinic_acid_nm_missing,0.0
kynurenic_acid_nm_missing,0.0
dopamine_mrm_intensity_missing,0.0
creatine_mrm_intensity_missing,0.0
olink_mdk_npx_missing,0.0
serotonin_nm_missing,0.0
mir_let7e_ct_missing,0.0
mir_9_ct_missing,0.0
mir_155_ct_missing,0.0
mir_146a_ct_missing,0.0
mir_132_ct_missing,0.0
olink_mad5_npx_missing,0.0
olink_ddc_npx_missing,0.0
apoe_genotype_missing,0.0
mir_132_relative_expression_missing,0.0
mir_107_relative_expression_missing,0.0
gba_mutation_carrier_missing,0.0
gcase_activity_missing,0.0
mir_155_relative_expression_missing,0.0
mir_146a_relative_expression_missing,0.0
mir_9_relative_expression_missing,0.0
mir_let7e_relative_expression_missing,0.0
