feature,importance
updrs_part_iii,2.3306842478599514
updrs_part_ii,0.738317508656176
moca_total_score,0.6315873241432167
disease_duration_years,0.49113685507338606
updrs_part_i,0.4373245406654698
updrs_part_iv,0.37935950713849337
schwab_england_adl,0.29918512636916805
rem_sleep_score,0.28429755193414014
beta_hexosaminidase_activity,0.07225224215850391
bmi,0.05215722692771425
diastolic_bp,0.05024892851634874
gfap_pg_ml,0.04958839120516564
alpha_synuclein_pg_ml,0.047262850741468354
nfl_pg_ml,0.04560171724137982
alpha_synuclein_t50_hours,0.04177308579025217
gcase_activity,0.04166305070594508
age,0.039175526647418
cathepsin_d_activity,0.03856958713333554
hemoglobin_ng_ml,0.03621789174186913
gdf15_pg_ml,0.03469153122860323
kynurenic_acid_nm,0.03380291638176215
mir_let7e_ct,0.03322457250352789
quinolinic_acid_nm,0.03294405167223943
tryptophan_nm,0.032646728511463406
education_years,0.032260180680553564
systolic_bp,0.029875757518803975
kynurenine_nm,0.029609824469946904
t_tau_pg_ml,0.02919425459517368
klotho_pg_ml,0.028847799042338137
serotonin_nm,0.028009844058807454
creatine_mrm_intensity,0.025173769433003236
olink_mad5_npx,0.024536938481077974
crp40_copy_number,0.023801145325902225
olink_ddc_npx,0.02293934594367245
olink_mdk_npx,0.021182934252910443
levodopa_use,0.019506003290921815
ceramide_total_nmol_ml,0.01877358427195843
amyloid_beta_42_40_ratio,0.018603223527778587
mir_let7e_relative_expression,0.01822612272034318
dopamine_mrm_intensity,0.017266636629136804
alpha_synuclein_seed_auc,0.01676131418684859
amyloid_beta_42_pg_ml,0.01665927939792582
mir_155_ct,0.015910477268472473
p_tau181_pg_ml,0.01589412662213903
mir_9_ct,0.015669021501132366
apoe_genotype,0.015614804028053153
mir_9_relative_expression,0.015191704943337965
mir_146a_relative_expression,0.014872710897572852
mir_146a_ct,0.014793618244640743
glucosylceramide_total_nmol_ml,0.01473366194153733
mir_107_ct,0.01435603373481385
sphingomyelin_total_nmol_ml,0.014342445561798109
saliva_available,0.014229005058307199
mir_107_relative_expression,0.01364911644780999
lactosylceramide_total_nmol_ml,0.013086556349233835
mir_132_ct,0.012343434238178694
mir_132_relative_expression,0.012118956336031323
olink_il17d_npx,0.010664908827121473
sample_type,0.010091193810757754
mir_155_relative_expression,0.009876636342715428
genetics_available,0.009515244791237148
plasma_available,0.004671438075331279
rt_quic_available,0.004131300050192784
lipidomics_available,0.002687291212859095
alpha_synuclein_rt_quic_result,0.0026397115795707546
family_history_pd,0.0024332574167132168
alpha_synuclein_pg_ml_missing,0.0023756718660048067
serum_available,0.00175760393458338
gdf15_pg_ml_missing,0.0016466604737779109
sex,0.0013573400047629297
alpha_synuclein_seed_auc_missing,0.0011832565707736427
proteomics_available,0.0010281499020373779
apoe_genotype_missing,0.0009071956652880171
ceramide_total_nmol_ml_missing,0.000868423427885059
csf_available,0.0007273846143373907
gba_mutation_carrier,0.0006246179308447192
glucosylceramide_total_nmol_ml_missing,0.0004290717268848745
mirna_available,0.0003962693241453475
mir_107_ct_missing,0.00033681873419653794
amyloid_beta_42_pg_ml_missing,0.0002904135111914893
klotho_pg_ml_missing,0.00024972763834635916
crp40_copy_number_missing,0.00022304444056724782
alpha_synuclein_t50_hours_missing,0.00010349149872885025
tryptophan_nm_missing,9.262117860855284e-05
mir_132_ct_missing,7.258054195641204e-05
olink_il17d_npx_missing,6.698041173326894e-05
gba_mutation_carrier_missing,4.0328730041615346e-05
olink_mdk_npx_missing,3.1330698187974964e-05
sphingomyelin_total_nmol_ml_missing,0.0
nfl_pg_ml_missing,0.0
p_tau181_pg_ml_missing,0.0
hemoglobin_ng_ml_missing,0.0
amyloid_beta_42_40_ratio_missing,0.0
lactosylceramide_total_nmol_ml_missing,0.0
alpha_synuclein_rt_quic_result_missing,0.0
t_tau_pg_ml_missing,0.0
gfap_pg_ml_missing,0.0
serotonin_nm_missing,0.0
kynurenine_nm_missing,0.0
quinolinic_acid_nm_missing,0.0
mir_let7e_ct_missing,0.0
mir_9_ct_missing,0.0
mir_155_ct_missing,0.0
mir_146a_ct_missing,0.0
olink_ddc_npx_missing,0.0
olink_mad5_npx_missing,0.0
creatine_mrm_intensity_missing,0.0
dopamine_mrm_intensity_missing,0.0
kynurenic_acid_nm_missing,0.0
mir_132_relative_expression_missing,0.0
gcase_activity_missing,0.0
mir_107_relative_expression_missing,0.0
mir_155_relative_expression_missing,0.0
mir_146a_relative_expression_missing,0.0
mir_9_relative_expression_missing,0.0
mir_let7e_relative_expression_missing,0.0
