epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4439520089522653,0.8819827618806259,1.1239384931066763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4898129322312095,0.9118981313976374,1.155829594893889,0.8246,0.6521739130434783,0.6904761904761905,0.6593240093240093,0.8694576514816452,0.9509803921568628,0.5625,0.9902,0.9211,0.0005
2,0.9828376884045809,0.6282794693241949,0.7091164407522782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3224380883303555,0.8201727250760252,1.004530748183077,0.9024,0.782608695652174,0.7827380952380952,0.7808441558441558,0.9223080679640278,0.9509803921568627,0.8125,1.0,0.8947,0.0005
3,0.7109862571177276,0.4665766423163207,0.4888192283070606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3418878425251355,0.822454648939046,1.0388663695617155,0.8904,0.782608695652174,0.761904761904762,0.7629870129870129,0.9048517433289105,0.9215686274509803,0.75,1.0,0.9211,0.0005
4,0.5380469265191451,0.35308143755663995,0.3699309805165166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2896621830084107,0.763945759697394,1.0514328608458692,0.8944,0.7391304347826086,0.7470238095238095,0.7545787545787547,0.9125893778564057,0.9313725490196079,0.6964,1.0,0.9868,0.0005
5,0.4278343822645104,0.2741542177355808,0.30736033268596813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4850385642864488,0.8441082361069593,1.2818606641482224,0.8783,0.6086956521739131,0.6011904761904762,0.6023845435610142,0.8982566710894884,0.9313725490196078,0.6875,1.0,0.9474,0.0005
6,0.3511951754922452,0.21653158340765083,0.2693271827438603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7144208313389258,0.9841064028441906,1.460628881034526,0.8488,0.6956521739130435,0.7113095238095237,0.6987179487179487,0.8690361012826183,0.9117647058823529,0.6518,1.0,0.8947,0.0005
7,0.3103182885957801,0.18292160798674045,0.2547933622546818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4379123659296469,0.8445725410499356,1.1866796494207599,0.9198,0.782608695652174,0.8154761904761905,0.7779220779220779,0.9327155204186939,0.9803921568627452,0.7857,1.0,0.9737,0.0005
8,0.2677633416393529,0.14927808674781218,0.23697051159713578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4945606975392862,0.8744809121232141,1.2401595576242967,0.9289,0.7391304347826086,0.7470238095238095,0.7413419913419913,0.9417615730502726,0.9803921568627452,0.8393,1.0,0.9474,0.0005
9,0.24358469817949377,0.12867637898610987,0.22981663955294568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.520434671504931,0.882176108319651,1.276517145674337,0.9021,0.7391304347826086,0.7738095238095237,0.7416666666666667,0.9256988979802447,0.9607843137254902,0.7589,1.0,0.9474,0.00025
10,0.22617921168389526,0.11491156978451687,0.22253528405790743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6609097939323296,0.9370338987897743,1.4477517943490634,0.9081,0.7391304347826086,0.7678571428571428,0.7428571428571429,0.9138816710894884,0.9313725490196079,0.7768,1.0,0.9474,0.00025
11,0.21367884641108306,0.10429051414779995,0.21877666672934656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.554650730368766,0.9105910855260763,1.2881192947653206,0.917,0.782608695652174,0.8154761904761905,0.7786713286713287,0.9299443461595165,0.9509803921568627,0.8036,1.0,0.9474,0.00025
12,0.20423050730124764,0.09573257248038831,0.21699586938256804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8563117215579206,1.0680285387418487,1.5765663734213873,0.9065,0.6956521739130435,0.6994047619047619,0.7113445378151261,0.9102558786672563,0.9215686274509803,0.7589,1.0,0.9605,0.00025
13,0.19671199231044106,0.08921008602432583,0.21500380972157354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8478068814358928,1.0910103236409752,1.5135931189764629,0.883,0.6956521739130435,0.7113095238095237,0.6987179487179487,0.9030572755417957,0.9411764705882353,0.7411,1.0,0.9079,0.000125
14,0.19467344180397364,0.08640699781801389,0.21653288719446762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7359394359995017,1.0351290672340177,1.4016207344830036,0.9317,0.782608695652174,0.7886904761904762,0.7836538461538461,0.9387554363850803,0.9509803921568627,0.8214,1.0,0.9737,0.000125
15,0.18766933653665627,0.08114126331132392,0.21305614800556846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7936948636038736,1.0577964530411093,1.4717968204482035,0.9287,0.7391304347826086,0.7470238095238095,0.7470238095238095,0.9365232935279375,0.9509803921568627,0.8125,1.0,0.9737,0.000125
16,0.1834906772426937,0.07727958611820056,0.2124221813419591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.816951226781715,1.0758231671696359,1.4822561094029383,0.9258,0.7391304347826086,0.7470238095238095,0.7470238095238095,0.9365232935279375,0.9509803921568627,0.8036,1.0,0.9737,0.000125
17,0.1808947784745175,0.07488161649392999,0.21202632422032563,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8389906923879276,1.0933043006807566,1.4913728081367232,0.9258,0.782608695652174,0.7827380952380952,0.7976190476190476,0.9342911506707947,0.9509803921568627,0.8036,1.0,0.9737,6.25e-05
18,0.1788435159817986,0.07298960931923078,0.21170781371386155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8426020660183646,1.091968445869332,1.5012672391127457,0.9258,0.7391304347826086,0.7470238095238095,0.7470238095238095,0.9342911506707947,0.9509803921568627,0.8036,1.0,0.9737,6.25e-05
19,0.17686869826005852,0.07116004811680836,0.21141730028650035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8554854762147774,1.1047177539969033,1.5015354644168506,0.9258,0.782608695652174,0.7827380952380952,0.7976190476190476,0.9342911506707947,0.9509803921568627,0.8036,1.0,0.9737,6.25e-05
20,0.1749758699665899,0.06939690281515536,0.21115793430286905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.857228085398674,1.104475998404351,1.5055041773752733,0.9258,0.782608695652174,0.7827380952380952,0.7976190476190476,0.9345099882058087,0.9607843137254902,0.8036,1.0,0.9737,6.25e-05
21,0.1738397269145302,0.06825265858484351,0.21117413782555125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8479689972644502,1.1073411785235459,1.4812556041235274,0.9287,0.8260869565217391,0.8244047619047619,0.8351648351648352,0.9342911506707947,0.9509803921568627,0.8125,1.0,0.9737,3.125e-05
22,0.1725599107534989,0.06713322060911552,0.2108533800944038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8532061719081618,1.112859664400193,1.4806930439716035,0.9243,0.8260869565217391,0.8244047619047619,0.8351648351648352,0.9342911506707947,0.9509803921568627,0.8125,1.0,0.9605,3.125e-05
