epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.4768325546513432,0.9067040650740914,1.1402569900388304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3536576994440772,0.8357304470105604,1.0358545116402886,0.9375,0.8260869565217391,0.8428571428571429,0.829861111111111,0.9553571428571428,0.9821428571428572,0.8125,1.0,1.0,0.0005
2,0.9992785583371702,0.6452580591906671,0.7080409977747046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2886928834698417,0.7800163619897582,1.017353038896214,0.8959,0.6956521739130435,0.7357142857142858,0.7064935064935065,0.9136591478696743,0.9910714285714286,0.7321,0.9556,1.0,0.0005
3,0.7363220220026763,0.4867686709632044,0.4991067028563956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2094572640278123,0.7382929927923463,0.9423285580494187,0.9236,0.782608695652174,0.7803571428571429,0.7945261437908497,0.9404788011695906,0.9732142857142857,0.8214,0.9889,0.9605,0.0005
4,0.5759512186050415,0.3810560793980308,0.38979028178297953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2309307327324694,0.7232392758808353,1.0153829082846642,0.9212,0.6956521739130435,0.7089285714285714,0.7111928104575164,0.9297462406015038,0.9285714285714286,0.7768,1.0,0.9868,0.0005
5,0.4656538162542426,0.3030532823956531,0.3252010669397271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1483424807136708,0.6714696616611697,0.9537456374276768,0.9583,0.8260869565217391,0.8428571428571429,0.8507936507936508,0.9598214285714286,0.9553571428571428,0.875,1.0,1.0,0.0005
6,0.38342981960462486,0.24148044650969297,0.2838987459307132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3030052449215541,0.7432519248263403,1.1195066503503106,0.9278,0.7391304347826086,0.7446428571428572,0.7520833333333334,0.9347222222222222,0.9553571428571428,0.7946,0.9889,1.0,0.0005
7,0.32741499828255693,0.1975693342478379,0.25969132599623307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3580784225328402,0.7766717370938171,1.162813369862058,0.9049,0.7391304347826086,0.7714285714285714,0.7573870573870574,0.9219924812030076,0.9732142857142857,0.7411,1.0,0.9737,0.0005
8,0.29248207354027295,0.16786788313285164,0.24922837977824003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1573571142825214,0.6630728104236451,0.9885686182162978,0.9524,0.8695652173913043,0.8928571428571428,0.8923076923076924,0.9575892857142857,0.9732142857142857,0.8571,1.0,1.0,0.0005
9,0.26921850378098694,0.1464397527601408,0.245557499450186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4461506256325678,0.8421949745917862,1.207911287180402,0.9375,0.6956521739130435,0.6696428571428572,0.6620941558441559,0.9375,0.9285714285714286,0.8125,1.0,1.0,0.0005
10,0.2365419635306234,0.12244417628516321,0.2281955739726191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3836422989314252,0.7955169130794026,1.1762507544322447,0.9391,0.782608695652174,0.8071428571428572,0.7982905982905982,0.9431390977443609,0.9464285714285714,0.8304,1.0,0.9868,0.00025
11,0.21330686017223027,0.10472753909618958,0.217158642411232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4252036538991062,0.8167745938355272,1.216858127916401,0.948,0.7391304347826086,0.7714285714285714,0.7658730158730158,0.9476033834586467,0.9375,0.8571,1.0,0.9868,0.00025
12,0.20540781876315242,0.0969792726247207,0.21685709162898686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4448971006680618,0.8124493910846385,1.2648954140869053,0.9375,0.7391304347826086,0.7714285714285714,0.7658730158730158,0.9352678571428572,0.9285714285714286,0.8125,1.0,1.0,0.00025
13,0.1928788606239402,0.08669176347877668,0.2123741933832998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3837631805376573,0.781511530872773,1.2045032720674167,0.9435,0.7391304347826086,0.7714285714285714,0.7658730158730158,0.9419642857142857,0.9285714285714286,0.8304,1.0,1.0,0.00025
