epoch,train_loss,train_risk_loss,train_class_loss,train_risk_macro_auc,train_subject_accuracy,train_subject_balanced_accuracy,train_subject_macro_f1,train_subject_macro_auc,train_binary_auc,train_risk_auc_AD,train_risk_auc_PD,train_risk_auc_MS,val_loss,val_risk_loss,val_class_loss,val_risk_macro_auc,val_subject_accuracy,val_subject_balanced_accuracy,val_subject_macro_f1,val_subject_macro_auc,val_binary_auc,val_risk_auc_AD,val_risk_auc_PD,val_risk_auc_MS,lr
1,1.5880814365718676,0.9632402171259341,1.2496824497761934,0.9778,0.9021739130434783,0.906364468864469,0.9001413318363783,0.9859558355377017,0.986013986013986,0.9643,0.9691,1.0,1.356706207448786,0.84614112702283,1.021130154078657,0.9903,0.8695652173913043,0.8583333333333334,0.8775995246583481,0.9977678571428572,1.0,0.9821,0.9889,1.0,0.0005
2,1.1061748608298925,0.6989031340764916,0.814543458689814,0.9998,0.9891304347826086,0.9880952380952381,0.9895164741121095,0.9998604910714286,1.0,0.9994,1.0,1.0,0.9679971906271848,0.6249670359221372,0.6860603202473033,0.9673,0.9565217391304348,0.95,0.9555555555555555,0.9860615079365079,1.0,0.9464,0.9556,1.0,0.0005
3,0.8224111588104911,0.5357160049936046,0.5733903078929238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7913308577104048,0.5228424587033011,0.5369768020781603,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.0005
4,0.6246082663536072,0.41073021577752156,0.42775610089302063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8707421205260537,0.5748904652216218,0.5917033106088638,0.9607,0.9130434782608695,0.8999999999999999,0.9131944444444444,0.9955357142857143,1.0,0.9821,1.0,0.9,0.0005
5,0.509563551519228,0.3307788188042848,0.3575694700945979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.574861494654959,0.36510481346737256,0.41951335390860384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005
6,0.41845915628516156,0.2653636560491894,0.30619099749171214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.575063515115868,0.3642837069928646,0.4215596206486225,0.9481,0.9565217391304348,0.95,0.9555555555555555,0.9888392857142857,1.0,0.9554,0.8889,1.0,0.0005
7,0.3470991665902345,0.21160324073356132,0.27099184860353887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5723792531273582,0.36087010157379235,0.42301830784841016,1.0,0.9565217391304348,0.95,0.9555555555555555,0.9955357142857143,1.0,1.0,1.0,1.0,0.0005
8,0.3088190151297528,0.17955827790757883,0.2585214745739232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8752036247063767,0.5752254165709019,0.5999564044177532,0.9377,0.9130434782608695,0.8999999999999999,0.9131944444444444,0.9449404761904762,1.0,0.9464,1.0,0.8667,0.0005
9,0.2672399211189021,0.14680349062318387,0.24087285852950552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4118551527234641,0.23107912171293388,0.3615520637143742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005
10,0.252020338177681,0.13175662237664929,0.2405274325090906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4536724114282565,0.269033571197228,0.3692776808007197,0.994,0.9565217391304348,0.95,0.9555555555555555,0.9955357142857143,1.0,0.9821,1.0,1.0,0.0005
11,0.23535372809223506,0.1165097502262696,0.23768795456575312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5392974208701741,0.3326427775689147,0.4133092832158912,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.0005
12,0.2086484530697698,0.09532006603220235,0.22665677394555964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49045051194050093,0.28777132276445627,0.40535837784409523,0.9911,0.9565217391304348,0.95,0.9555555555555555,0.9933035714285714,1.0,0.9732,1.0,1.0,0.0005
13,0.2009722315746805,0.08698252154433209,0.22797941980154618,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5296167091212489,0.3181495482779362,0.4229343303225257,0.9911,0.9565217391304348,0.95,0.9555555555555555,0.9933035714285714,1.0,0.9732,1.0,1.0,0.0005
14,0.1762198514264563,0.06911481693387031,0.21421006956826086,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49247024377638643,0.2888702900064262,0.40719992091709917,0.997,0.9565217391304348,0.95,0.9555555555555555,0.9977678571428572,1.0,0.9911,1.0,1.0,0.00025
15,0.16690358934195146,0.0614502779815508,0.210906622591226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39908899840983475,0.22496969218958507,0.3482386137951504,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
16,0.1619609050128771,0.05664627007816149,0.21062926948070526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4186920310285958,0.23703298057344827,0.363318090073087,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
17,0.15784367776435354,0.05277469786612884,0.21013796005560004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39081145890734414,0.21811083213172175,0.3454012677750804,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
18,0.15270096154316612,0.04821126127372617,0.20897940047409225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4328993440351703,0.250525717030872,0.3647472441873767,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
19,0.14893840719824253,0.04459596072202143,0.2086848919806273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44376549090851436,0.2588397301733494,0.36985152892091055,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
20,0.1457609298436538,0.041497929588608116,0.20852600025094073,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43653312359343877,0.2539240679788319,0.36521812359040434,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
21,0.14296342963757722,0.038690444794685946,0.20854596975057021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38831037536940793,0.20830657388168303,0.36000760610808025,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
22,0.15200749428375906,0.04341098099299099,0.21719302742377572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3784561362117529,0.19912822201678698,0.35865582153201103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00025
23,0.15197500314401544,0.043591404835815015,0.21676719732906508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5117368254471909,0.2806207779371603,0.4622321061112664,0.994,0.9565217391304348,0.95,0.9555555555555555,0.9955357142857143,1.0,0.9821,1.0,1.0,0.00025
24,0.13751466792562733,0.03265639138610467,0.20971655301425768,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3146775754337961,0.15809996252540837,0.31315523792396893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00025
25,0.1438443914703701,0.03682411933398765,0.21404054346291915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4083754315295003,0.22565240506082773,0.3654460534453392,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
26,0.14619181460660438,0.03756198881436949,0.2172596496084462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5245892285284671,0.2807728044942699,0.4876328351145441,0.997,0.9130434782608695,0.9083333333333334,0.9101010101010101,0.9977678571428572,1.0,0.9911,1.0,1.0,0.00025
27,0.14297729270613713,0.035227499983232956,0.21549958483032558,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40960511937737465,0.22820991472425786,0.3627904125235297,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.00025
28,0.15022370899501053,0.039910320824255115,0.22062677754008253,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4951828133992173,0.29977710773660377,0.3908114307983355,0.994,0.9565217391304348,0.95,0.9555555555555555,0.9955357142857143,1.0,0.9821,1.0,1.0,0.00025
29,0.12770175512718118,0.023674101431084716,0.2080553076837374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3615278323942965,0.19426946401257406,0.33451674438335677,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.000125
30,0.12772823040900022,0.023314551749955052,0.20882735822511755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4143137950450182,0.23773442644795234,0.3531587232242931,1.0,0.9565217391304348,0.95,0.9555555555555555,1.0,1.0,1.0,1.0,1.0,0.000125
31,0.1267468960388847,0.022448661081168962,0.20859646965628084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3237549862401052,0.16499803189865567,0.3175139074975794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000125
32,0.1252912920454274,0.021262095188317093,0.20805839326070702,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3417615939609029,0.17940489372069185,0.32471340386704967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000125
